family,zones,mean_certificate,mean_validation_rmse,mean_test_rmse,mean_test_weighted_cost,mean_total_kl,mean_rule_count,mean_dimension,mean_certification_clipping
dense_tsk,3,0.1461996346545927,1148.2926758378774,1451.7334751808767,1618.9184085929464,80.31037870109486,6.0,78.0,0.0319216584001017
fixed_k_dense_tsk,3,0.16251339195329842,1198.4923725415542,1325.7112803555624,1482.8913457341105,86.1930888386696,8.0,104.0,0.0319216584001017
ridge,3,0.07897700315677407,1442.2951899383434,1212.5760441261702,1263.3432102596616,21.241363178906088,1.0,13.0,0.0319216584001017
