zone,decision_made_before_test_opening,deployment,reason,eligible_candidate_count,seasonal_validation_rmse,seasonal_validation_mae,selected_candidate_id,selected_family,selected_certificate,selected_validation_rmse,test_opened_after_decision,test_baseline_rmse,test_baseline_mae,test_baseline_weighted_cost,test_baseline_normalized_weighted_cost,test_deployed_rmse,test_deployed_mae,test_deployed_weighted_cost,test_deployed_normalized_weighted_cost,test_rmse_improvement_vs_fallback,test_cost_improvement_vs_fallback,selected_certification_clipping_rate
zone_1,True,dense_tsk,certificate_and_validation_gates_passed,95,1804.2602465985367,1283.4815086742997,dense_tsk|p=12|r=1.5|a=1|k=4,dense_tsk,0.1225807032131924,1386.3342656695252,True,1411.6210502914548,940.0879135309283,1372.4979815444833,0.04657717119119992,1579.04630097141,1200.0492158267543,1683.6971185065863,0.05713804317188323,-0.11860495466923442,-0.2267392310565791,0.0034338038916444107
zone_2,True,fixed_k_dense_tsk,certificate_and_validation_gates_passed,95,1825.3534608933705,1273.4041329974555,fixed_k_dense_tsk|p=12|r=none|a=1|k=8,fixed_k_dense_tsk,0.14819997783424171,1170.802254199969,True,1722.8423274326647,1138.0250776174114,1720.2798372126765,0.07382345783513994,1748.8760948806341,1346.5399280747645,2048.0462816546847,0.08788910678807067,-0.015110940237209238,-0.19053088767992502,0.012209080503624571
zone_3,True,seasonal_naive_24h,no_certificate_eligible_candidate,0,1080.9882532835416,737.8269985242974,,,,,True,1148.9166500716497,618.7739873360073,915.0721569650649,0.07566301826423144,1148.9166500716497,618.7739873360073,915.0721569650649,0.07566301826423144,0.0,0.0,
