zone,candidate_id,family,lag,radius,ridge_alpha,rule_count,consequent_dimension,validation_rmse,validation_mae,clip_bound_scaled,clip_lower_original,clip_upper_original,certification_target_clipping_rate,certificate_sample_size,selection_uses_test,certificate_uses_test,prior_scale,posterior_ratio,empirical_gibbs_risk,gaussian_kl,structure_kl,prior_scale_penalty,total_kl,temperature,certificate,certificate_untruncated,effective_rule_count,minimum_hard_rule_support,maximum_hard_rule_support,mean_active_rules,maximum_active_rules,rule_usage_entropy,realized_covering_radius
zone_3,ridge|p=3|r=none|a=0.0001|k=1,ridge,3,,0.0001,1,4,2427.936101289445,2049.9376719163283,3.0404018449726236,4607.615526706868,30302.38107758813,0.08012209080503624,2621,False,False,8.0,0.3,0.014585412445578115,5.174435967162392,3.8066624897703196,1.6094379124341003,10.590536369366813,0.25,0.07098099108093403,0.07098099108093403,1,871,871,1.0,1,0.0,
zone_3,ridge|p=3|r=none|a=0.001|k=1,ridge,3,,0.001,1,4,2427.93584265902,2049.938467832056,3.0404018449726236,4607.615526706868,30302.38107758813,0.08012209080503624,2621,False,False,8.0,0.3,0.014585378991023752,5.1744812923952015,3.8066624897703196,1.6094379124341003,10.59058169459962,0.25,0.0709810267988067,0.0709810267988067,1,871,871,1.0,1,0.0,
zone_3,ridge|p=3|r=none|a=0.01|k=1,ridge,3,,0.01,1,4,2427.9332574382506,2049.9464265084443,3.0404018449726236,4607.615526706868,30302.38107758813,0.08012209080503624,2621,False,False,8.0,0.3,0.014585044488508055,5.17493452017932,3.8066624897703196,1.6094379124341003,10.591034922383741,0.25,0.07098138398310386,0.07098138398310386,1,871,871,1.0,1,0.0,
zone_3,ridge|p=3|r=none|a=0.1|k=1,ridge,3,,0.1,1,4,2427.9075134913237,2050.0259652033146,3.0404018449726236,4607.615526706868,30302.38107758813,0.08012209080503624,2621,False,False,8.0,0.3,0.014581703760612331,5.179464341469329,3.8066624897703196,1.6094379124341003,10.595564743673748,0.25,0.07098495637430773,0.07098495637430773,1,871,871,1.0,1,0.0,
zone_3,ridge|p=3|r=none|a=1|k=1,ridge,3,,1.0,1,4,2427.660813690415,2050.8165656600645,3.0404018449726236,4607.615526706868,30302.38107758813,0.08012209080503624,2621,False,False,8.0,0.3,0.014548720753682225,5.224514816495029,3.8066624897703196,1.6094379124341003,10.640615218699448,0.25,0.07102072647691703,0.07102072647691703,1,871,871,1.0,1,0.0,
zone_3,fixed_k_dense_tsk|p=3|r=none|a=0.0001|k=8,fixed_k_dense_tsk,3,,0.0001,8,32,3294.2212998709365,2790.150992300243,3.0404018449726236,4607.615526706868,30302.38107758813,0.08012209080503624,2621,False,False,8.0,0.1,0.02737271610605291,63.84587950212194,9.347926034928745,1.6094379124341003,74.80324344948478,0.5,0.15144413730478234,0.15144413730478234,8,167,575,1.9011827546737887,5,0.9484991847236799,0.6590864866036219
zone_3,fixed_k_dense_tsk|p=3|r=none|a=0.001|k=8,fixed_k_dense_tsk,3,,0.001,8,32,3294.0776784061786,2790.081765084471,3.0404018449726236,4607.615526706868,30302.38107758813,0.08012209080503624,2621,False,False,8.0,0.1,0.02729301219216792,63.84700833773687,9.347926034928745,1.6094379124341003,74.80437228509972,0.5,0.1513652947687035,0.1513652947687035,8,167,575,1.9011827546737887,5,0.9484991847236799,0.6590864866036219
zone_3,fixed_k_dense_tsk|p=3|r=none|a=0.01|k=8,fixed_k_dense_tsk,3,,0.01,8,32,3292.651894540646,2789.392047544191,3.0404018449726236,4607.615526706868,30302.38107758813,0.08012209080503624,2621,False,False,8.0,0.1,0.026566850242274127,63.858352307952956,9.347926034928745,1.6094379124341003,74.8157162553158,0.5,0.15064778903415962,0.15064778903415962,8,167,575,1.9011827546737887,5,0.9484991847236799,0.6590864866036219
zone_3,fixed_k_dense_tsk|p=3|r=none|a=0.1|k=8,fixed_k_dense_tsk,3,,0.1,8,32,3279.3706933176495,2782.842775778074,3.0404018449726236,4607.615526706868,30302.38107758813,0.08012209080503624,2621,False,False,8.0,0.1,0.022605552870910466,63.973997123540826,9.347926034928745,1.6094379124341003,74.93136107090368,0.5,0.14677473646675468,0.14677473646675468,8,167,575,1.9011827546737887,5,0.9484991847236799,0.6590864866036219
zone_3,fixed_k_dense_tsk|p=3|r=none|a=1|k=8,fixed_k_dense_tsk,3,,1.0,8,32,3203.9715799350774,2735.4872373229705,3.0404018449726236,4607.615526706868,30302.38107758813,0.08012209080503624,2621,False,False,4.0,0.3,0.021433648918587022,51.922763437615146,9.347926034928745,1.6094379124341003,62.88012738497799,0.5,0.13640692737446503,0.13640692737446503,8,167,575,1.9011827546737887,5,0.9484991847236799,0.6590864866036219
zone_3,dense_tsk|p=3|r=0.75|a=0.0001|k=8,dense_tsk,3,0.75,0.0001,8,32,3294.2212998709365,2790.150992300243,3.0404018449726236,4607.615526706868,30302.38107758813,0.08012209080503624,2621,False,False,8.0,0.1,0.02737271610605291,63.84587950212194,11.1396855041568,1.6094379124341003,76.59500291871284,0.5,0.15281137077996593,0.15281137077996593,8,167,575,1.9011827546737887,5,0.9484991847236799,0.75
zone_3,dense_tsk|p=3|r=0.75|a=0.001|k=8,dense_tsk,3,0.75,0.001,8,32,3294.0776784061786,2790.081765084471,3.0404018449726236,4607.615526706868,30302.38107758813,0.08012209080503624,2621,False,False,8.0,0.1,0.02729301219216792,63.84700833773687,11.1396855041568,1.6094379124341003,76.59613175432777,0.5,0.15273252824388706,0.15273252824388706,8,167,575,1.9011827546737887,5,0.9484991847236799,0.75
zone_3,dense_tsk|p=3|r=0.75|a=0.01|k=8,dense_tsk,3,0.75,0.01,8,32,3292.651894540646,2789.392047544191,3.0404018449726236,4607.615526706868,30302.38107758813,0.08012209080503624,2621,False,False,8.0,0.1,0.026566850242274127,63.858352307952956,11.1396855041568,1.6094379124341003,76.60747572454386,0.5,0.15201502250934318,0.15201502250934318,8,167,575,1.9011827546737887,5,0.9484991847236799,0.75
zone_3,dense_tsk|p=3|r=0.75|a=0.1|k=8,dense_tsk,3,0.75,0.1,8,32,3279.3706933176495,2782.842775778074,3.0404018449726236,4607.615526706868,30302.38107758813,0.08012209080503624,2621,False,False,8.0,0.1,0.022605552870910466,63.973997123540826,11.1396855041568,1.6094379124341003,76.72312054013173,0.5,0.14814196994193823,0.14814196994193823,8,167,575,1.9011827546737887,5,0.9484991847236799,0.75
zone_3,dense_tsk|p=3|r=0.75|a=1|k=8,dense_tsk,3,0.75,1.0,8,32,3203.9715799350774,2735.4872373229705,3.0404018449726236,4607.615526706868,30302.38107758813,0.08012209080503624,2621,False,False,4.0,0.3,0.021433648918587022,51.922763437615146,11.1396855041568,1.6094379124341003,64.67188685420605,0.5,0.1377741608496486,0.1377741608496486,8,167,575,1.9011827546737887,5,0.9484991847236799,0.75
zone_3,dense_tsk|p=3|r=1|a=0.0001|k=6,dense_tsk,3,1.0,0.0001,6,24,2536.109165666695,2198.2830055273157,3.0404018449726236,4607.615526706868,30302.38107758813,0.08012209080503624,2621,False,False,4.0,0.1,0.018340399525876273,68.60983906579953,9.75339114303691,1.6094379124341003,79.97266812127054,0.5,0.14635644084805918,0.14635644084805918,6,153,704,2.0461655856543306,5,0.9255645551711693,1.0
zone_3,dense_tsk|p=3|r=1|a=0.001|k=6,dense_tsk,3,1.0,0.001,6,24,2536.107371740985,2198.2800083553857,3.0404018449726236,4607.615526706868,30302.38107758813,0.08012209080503624,2621,False,False,4.0,0.1,0.01831486505026804,68.61125287795176,9.75339114303691,1.6094379124341003,79.97408193342277,0.5,0.1463319852065999,0.1463319852065999,6,153,704,2.0461655856543306,5,0.9255645551711693,1.0
zone_3,dense_tsk|p=3|r=1|a=0.01|k=6,dense_tsk,3,1.0,0.01,6,24,2536.089946686134,2198.250421001867,3.0404018449726236,4607.615526706868,30302.38107758813,0.08012209080503624,2621,False,False,4.0,0.1,0.018072101558976372,68.62527798143549,9.75339114303691,1.6094379124341003,79.9881070369065,0.5,0.1460999238164023,0.1460999238164023,6,153,704,2.0461655856543306,5,0.9255645551711693,1.0
zone_3,dense_tsk|p=3|r=1|a=0.1|k=6,dense_tsk,3,1.0,0.1,6,24,2535.9649594362954,2197.991482464641,3.0404018449726236,4607.615526706868,30302.38107758813,0.08012209080503624,2621,False,False,8.0,0.1,0.030928447056502415,49.726264184690606,9.75339114303691,1.6094379124341003,61.08909324016162,0.5,0.14453504550870522,0.14453504550870522,6,153,704,2.0461655856543306,5,0.9255645551711693,1.0
zone_3,dense_tsk|p=3|r=1|a=1|k=6,dense_tsk,3,1.0,1.0,6,24,2538.131310999548,2198.133116890289,3.0404018449726236,4607.615526706868,30302.38107758813,0.08012209080503624,2621,False,False,8.0,0.1,0.018460124938053293,50.00928933567661,9.75339114303691,1.6094379124341003,61.37211839114762,0.5,0.13228269069356477,0.13228269069356477,6,153,704,2.0461655856543306,5,0.9255645551711693,1.0
zone_3,dense_tsk|p=3|r=1.25|a=0.0001|k=5,dense_tsk,3,1.25,0.0001,5,20,2970.6812349656193,2571.242409960974,3.0404018449726236,4607.615526706868,30302.38107758813,0.08012209080503624,2621,False,False,8.0,0.1,0.02815327801543333,43.28416607129111,9.060243962476964,1.6094379124341003,53.953847946202174,0.5,0.13631520245469492,0.13631520245469492,5,269,703,1.9309423884013734,4,0.9666262139426615,1.25
zone_3,dense_tsk|p=3|r=1.25|a=0.001|k=5,dense_tsk,3,1.25,0.001,5,20,2970.6512209277507,2571.226145030484,3.0404018449726236,4607.615526706868,30302.38107758813,0.08012209080503624,2621,False,False,8.0,0.1,0.028104694517353406,43.28412454946357,9.060243962476964,1.6094379124341003,53.95380642437463,0.5,0.13626658727265656,0.13626658727265656,5,269,703,1.9309423884013734,4,0.9666262139426615,1.25
zone_3,dense_tsk|p=3|r=1.25|a=0.01|k=5,dense_tsk,3,1.25,0.01,5,20,2970.3515468049045,2571.0637236734055,3.0404018449726236,4607.615526706868,30302.38107758813,0.08012209080503624,2621,False,False,8.0,0.1,0.027637821017398284,43.28377040269662,9.060243962476964,1.6094379124341003,53.95345227760768,0.5,0.13579944353480222,0.13579944353480222,5,269,703,1.9309423884013734,4,0.9666262139426615,1.25
zone_3,dense_tsk|p=3|r=1.25|a=0.1|k=5,dense_tsk,3,1.25,0.1,5,20,2967.4008999724506,2569.4620543086135,3.0404018449726236,4607.615526706868,30302.38107758813,0.08012209080503624,2621,False,False,8.0,0.1,0.024288067186339097,43.285522089701914,9.060243962476964,1.6094379124341003,53.95520396461298,0.5,0.13245102635922207,0.13245102635922207,5,269,703,1.9309423884013734,4,0.9666262139426615,1.25
zone_3,dense_tsk|p=3|r=1.25|a=1|k=5,dense_tsk,3,1.25,1.0,5,20,2942.0238511481634,2555.5663056840885,3.0404018449726236,4607.615526706868,30302.38107758813,0.08012209080503624,2621,False,False,8.0,0.1,0.016584462812462276,43.45148576482735,9.060243962476964,1.6094379124341003,54.12116763973842,0.5,0.12487406347723798,0.12487406347723798,5,269,703,1.9309423884013734,4,0.9666262139426615,1.25
zone_3,dense_tsk|p=3|r=1.5|a=0.0001|k=2,dense_tsk,3,1.5,0.0001,2,8,2273.749123481456,1898.4388311432788,3.0404018449726236,4607.615526706868,30302.38107758813,0.08012209080503624,2621,False,False,8.0,0.3,0.019395491173301395,8.809932063130542,6.980802420797129,1.6094379124341003,17.40017239636177,0.25,0.08618349411540277,0.08618349411540277,2,1215,1406,1.708126669210225,2,0.9964750112563716,1.5
zone_3,dense_tsk|p=3|r=1.5|a=0.001|k=2,dense_tsk,3,1.5,0.001,2,8,2273.7502159911437,1898.4403113545047,3.0404018449726236,4607.615526706868,30302.38107758813,0.08012209080503624,2621,False,False,8.0,0.3,0.019395123239619633,8.810039804913963,6.980802420797129,1.6094379124341003,17.40028013814519,0.25,0.08618329061023443,0.08618329061023443,2,1215,1406,1.708126669210225,2,0.9964750112563716,1.5
zone_3,dense_tsk|p=3|r=1.5|a=0.01|k=2,dense_tsk,3,1.5,0.01,2,8,2273.761155441249,1898.4551143262997,3.0404018449726236,4607.615526706868,30302.38107758813,0.08012209080503624,2621,False,False,8.0,0.3,0.01939144644963588,8.811117006765258,6.980802420797129,1.6094379124341003,17.401357339996487,0.25,0.08618125777576582,0.08618125777576582,2,1215,1406,1.708126669210225,2,0.9964750112563716,1.5
zone_3,dense_tsk|p=3|r=1.5|a=0.1|k=2,dense_tsk,3,1.5,0.1,2,8,2273.8719802146957,1898.6032295536206,3.0404018449726236,4607.615526706868,30302.38107758813,0.08012209080503624,2621,False,False,8.0,0.3,0.019354931397512588,8.821867462160862,6.980802420797129,1.6094379124341003,17.41210779539209,0.25,0.08616114937056446,0.08616114937056446,2,1215,1406,1.708126669210225,2,0.9964750112563716,1.5
zone_3,dense_tsk|p=3|r=1.5|a=1|k=2,dense_tsk,3,1.5,1.0,2,8,2275.1183459842873,1900.1296477315266,3.0404018449726236,4607.615526706868,30302.38107758813,0.08012209080503624,2621,False,False,8.0,0.3,0.019013356561164443,8.92725005018541,6.980802420797129,1.6094379124341003,17.51749038341664,0.25,0.08598040259682532,0.08598040259682532,2,1215,1406,1.708126669210225,2,0.9964750112563716,1.5
zone_3,dense_tsk|p=3|r=2|a=0.0001|k=1,dense_tsk,3,2.0,0.0001,1,4,2427.93610138033,2049.9376720307027,3.0404018449726236,4607.615526706868,30302.38107758813,0.08012209080503624,2621,False,False,8.0,0.3,0.014587075942273812,5.172941561482237,6.287655240237184,1.6094379124341003,13.070034714153522,0.25,0.07476670394014284,0.07476670394014284,1,2621,2621,1.0,1,0.0,2.0
zone_3,dense_tsk|p=3|r=2|a=0.001|k=1,dense_tsk,3,2.0,0.001,1,4,2427.9358435678932,2049.9384689758595,3.0404018449726236,4607.615526706868,30302.38107758813,0.08012209080503624,2621,False,False,8.0,0.3,0.01458704247966971,5.17298686377318,6.287655240237184,1.6094379124341003,13.070080016444464,0.25,0.07476673961495336,0.07476673961495336,1,2621,2621,1.0,1,0.0,2.0
zone_3,dense_tsk|p=3|r=2|a=0.01|k=1,dense_tsk,3,2.0,0.01,1,4,2427.9332665271136,2049.9464379468113,3.0404018449726236,4607.615526706868,30302.38107758813,0.08012209080503624,2621,False,False,8.0,0.3,0.014586707896667286,5.17343986214456,6.287655240237184,1.6094379124341003,13.070533014815844,0.25,0.07476709636864898,0.07476709636864898,1,2621,2621,1.0,1,0.0,2.0
zone_3,dense_tsk|p=3|r=2|a=0.1|k=1,dense_tsk,3,2.0,0.1,1,4,2427.907604390963,2050.026079615066,3.0404018449726236,4607.615526706868,30302.38107758813,0.08012209080503624,2621,False,False,8.0,0.3,0.014583366364970896,5.177967389900973,6.287655240237184,1.6094379124341003,13.075060542572256,0.25,0.07477066445581013,0.07477066445581013,1,2621,2621,1.0,1,0.0,2.0
zone_3,dense_tsk|p=3|r=2|a=1|k=1,dense_tsk,3,2.0,1.0,1,4,2427.661723800951,2050.817712562807,3.0404018449726236,4607.615526706868,30302.38107758813,0.08012209080503624,2621,False,False,8.0,0.3,0.01455037542553275,5.222994990743797,6.287655240237184,1.6094379124341003,13.120088143415082,0.25,0.07480639171681888,0.07480639171681888,1,2621,2621,1.0,1,0.0,2.0
zone_3,dense_tsk|p=3|r=2.5|a=0.0001|k=1,dense_tsk,3,2.5,0.0001,1,4,2427.93610138033,2049.9376720307027,3.0404018449726236,4607.615526706868,30302.38107758813,0.08012209080503624,2621,False,False,8.0,0.3,0.014587075942273812,5.172941561482237,6.287655240237184,1.6094379124341003,13.070034714153522,0.25,0.07476670394014284,0.07476670394014284,1,2621,2621,1.0,1,0.0,2.5
zone_3,dense_tsk|p=3|r=2.5|a=0.001|k=1,dense_tsk,3,2.5,0.001,1,4,2427.9358435678932,2049.9384689758595,3.0404018449726236,4607.615526706868,30302.38107758813,0.08012209080503624,2621,False,False,8.0,0.3,0.01458704247966971,5.17298686377318,6.287655240237184,1.6094379124341003,13.070080016444464,0.25,0.07476673961495336,0.07476673961495336,1,2621,2621,1.0,1,0.0,2.5
zone_3,dense_tsk|p=3|r=2.5|a=0.01|k=1,dense_tsk,3,2.5,0.01,1,4,2427.9332665271136,2049.9464379468113,3.0404018449726236,4607.615526706868,30302.38107758813,0.08012209080503624,2621,False,False,8.0,0.3,0.014586707896667286,5.17343986214456,6.287655240237184,1.6094379124341003,13.070533014815844,0.25,0.07476709636864898,0.07476709636864898,1,2621,2621,1.0,1,0.0,2.5
zone_3,dense_tsk|p=3|r=2.5|a=0.1|k=1,dense_tsk,3,2.5,0.1,1,4,2427.907604390963,2050.026079615066,3.0404018449726236,4607.615526706868,30302.38107758813,0.08012209080503624,2621,False,False,8.0,0.3,0.014583366364970896,5.177967389900973,6.287655240237184,1.6094379124341003,13.075060542572256,0.25,0.07477066445581013,0.07477066445581013,1,2621,2621,1.0,1,0.0,2.5
zone_3,dense_tsk|p=3|r=2.5|a=1|k=1,dense_tsk,3,2.5,1.0,1,4,2427.661723800951,2050.817712562807,3.0404018449726236,4607.615526706868,30302.38107758813,0.08012209080503624,2621,False,False,8.0,0.3,0.01455037542553275,5.222994990743797,6.287655240237184,1.6094379124341003,13.120088143415082,0.25,0.07480639171681888,0.07480639171681888,1,2621,2621,1.0,1,0.0,2.5
zone_3,ridge|p=6|r=none|a=0.0001|k=1,ridge,6,,0.0001,1,7,2465.4352509896244,2050.5629027160735,3.0404018449726236,4607.615526706868,30302.38107758813,0.08012209080503624,2621,False,False,8.0,0.3,0.016560977613215816,14.588718029628488,3.8066624897703196,1.6094379124341003,20.00481843183291,0.25,0.0873240221966314,0.0873240221966314,1,868,868,1.0,1,0.0,
