zone,fixed_k_rule_count,radius_rule_count,rule_reduction,fixed_k_certificate,radius_certificate,certificate_reduction,fixed_k_test_rmse,radius_test_rmse,test_rmse_change_radius_minus_fixed
zone_1,8,4,4,0.1703216420265605,0.1225807032131924,0.047740938813368106,1314.0637321076815,1579.04630097141,264.9825688637284
zone_2,8,6,2,0.1481999778342417,0.145632411276309,0.0025675665579326934,1748.876094880634,1861.9601104928488,113.0840156122149
zone_3,8,8,0,0.1690185559990931,0.1703857894742767,-0.0013672334751836102,914.1940140783717,914.1940140783717,0.0
