selection_strategy,fixed_k,metric,metric_label,pair_count,mean_radius_minus_fixed,median_radius_minus_fixed,bootstrap_ci_low,bootstrap_ci_high,radius_lower_count,wilcoxon_p,wilcoxon_p_holm
validation_rmse,2,validation_rmse_scaled,Validation RMSE,30,-0.008933525813974904,-0.006260358593144014,-0.012662419411303628,-0.005378074958387332,25,0.00010387197393854373,0.00020774394787708746
validation_rmse,2,test_rmse_scaled,Test RMSE,30,-0.0035309612084639358,-0.006036041846286602,-0.01646213623647054,0.013539742598860588,21,0.007574619027472914,0.020050451159477234
validation_rmse,2,consequent_dimension,Dimension,30,16.033333333333335,8.0,5.066666666666666,28.2,11,0.030345593219219206,0.09103677965765762
validation_rmse,2,localized_gaussian_kl,Gaussian KL,30,6.4493869072493535,2.453255085827374,2.1401329676215712,11.352973541288,11,0.02977040515042219,0.11908162060168875
validation_rmse,2,localized_certificate_familywise,Certificate,30,0.02637517321231964,0.019116897313010743,0.013493916015030135,0.04067023286451914,8,0.00046010687947273254,0.0018404275178909302
validation_rmse,3,validation_rmse_scaled,Validation RMSE,30,-0.008511908616287618,-0.005956860927541274,-0.012304361057145503,-0.0048825997903047084,27,1.3966113328933716e-05,6.852815485343146e-05
validation_rmse,3,test_rmse_scaled,Test RMSE,30,-0.0031820239031451754,-0.002347907490537378,-0.016031464406569905,0.014933070722843217,17,0.054921628907322884,0.054921628907322884
validation_rmse,3,consequent_dimension,Dimension,30,5.4,1.5,-4.9,16.666666666666668,15,0.7263493480428884,1.0
validation_rmse,3,localized_gaussian_kl,Gaussian KL,30,3.160548399080975,-0.19089424980154301,-0.7624295780075949,7.458336099773131,16,0.5291051845997572,0.7480868167567012
validation_rmse,3,localized_certificate_familywise,Certificate,30,0.012465955644871825,0.009082484068943256,0.0009805768143031916,0.024996484103942652,14,0.13473508320748806,0.2694701664149761
validation_rmse,4,validation_rmse_scaled,Validation RMSE,30,-0.009535506815126478,-0.003998248364593393,-0.014106241011691894,-0.005521035725127752,26,1.3705630970686292e-05,6.852815485343146e-05
validation_rmse,4,test_rmse_scaled,Test RMSE,30,-0.0054590711314624,-0.004583071303550235,-0.017744457300559464,0.011934281043125826,19,0.005729472399915602,0.020050451159477234
validation_rmse,4,consequent_dimension,Dimension,30,-2.1666666666666665,-1.0,-12.1,7.533333333333333,15,0.7315068441422351,1.0
validation_rmse,4,localized_gaussian_kl,Gaussian KL,30,-0.6642989549888838,-1.0714013700680598,-4.539834801338521,3.432525822194117,16,0.3740434083783506,0.7480868167567012
validation_rmse,4,localized_certificate_familywise,Certificate,30,0.002099709581738769,0.0011215805041054489,-0.009222265782283657,0.013661584860470187,15,0.9262473087566314,0.9262473087566314
validation_rmse,6,validation_rmse_scaled,Validation RMSE,30,-0.010863046213852166,-0.004806089273225733,-0.01685504252433871,-0.005462927158619631,22,0.0002399133937569928,0.0002399133937569928
