process,family,lag,radius,candidates,mean_rule_count,mean_dimension,mean_validation_rmse,mean_gaussian_kl,mean_total_kl,mean_certificate
garch,sparse_tsk,3,3.0,25,4.2,16.8,1.0595064306619735,5.220153747470298,17.4367782871704,0.12258831948142125
garch,sparse_tsk,3,4.0,25,1.6,6.4,1.0511897101319287,0.7005596777115286,11.115001547955774,0.10609755736578176
garch,sparse_tsk,3,5.0,25,1.0,4.0,1.0515685877472223,0.4247637253143624,10.42331728722264,0.10404184897729639
garch,sparse_tsk,5,1.75,5,11.0,66.0,1.2177628246107703,16.944363814392464,33.8743891819002,0.1840626136614793
garch,sparse_tsk,5,2.0,15,8.333333333333334,50.0,2.4314104080433148,17.337010192940223,32.418643078954766,0.16759627635580987
garch,sparse_tsk,5,2.5,25,6.0,36.0,1.3290986481071831,10.933757705188079,24.398047169896085,0.14186492122796174
garch,sparse_tsk,5,3.0,25,3.4,20.4,1.2241246320999868,5.169938054593287,16.832044849845435,0.12285289649935897
garch,sparse_tsk,5,4.0,25,1.0,6.0,1.0542696232816977,0.756015383178972,10.754568945087248,0.10493223796737042
garch,sparse_tsk,5,5.0,25,1.0,6.0,1.0542696232816977,0.756015383178972,10.754568945087248,0.10493223796737042
garch,sparse_tsk,10,1.75,5,10.0,110.0,1.6525959392161986,29.282882604663257,45.519760791611034,0.2186966129333377
garch,sparse_tsk,10,2.0,15,7.666666666666667,84.33333333333333,3.194313860388385,6.5698699278595525,21.1894046935008,0.15311795234009448
garch,sparse_tsk,10,2.5,25,4.2,46.2,1.0799086171225405,5.075640638488297,17.2922651781884,0.12548452648748112
garch,sparse_tsk,10,3.0,25,1.2,13.2,1.0619714351308813,1.7120878096184051,11.849270807638673,0.10835575555496466
garch,sparse_tsk,10,4.0,25,1.0,11.0,1.0620868090667166,1.5623316657963324,11.56088522770461,0.10748938350224277
garch,sparse_tsk,10,5.0,25,1.0,11.0,1.0620868090667166,1.5623316657963324,11.56088522770461,0.10748938350224277
garch,sparse_tsk,15,1.75,5,11.0,176.0,5.357857045171131,22.421738082751354,39.35176345025908,0.23725683187559418
garch,sparse_tsk,15,2.0,15,7.333333333333333,117.33333333333333,3.077326607516579,5.840874473062977,20.229360178517577,0.1525667820116448
garch,sparse_tsk,15,2.5,25,3.4,54.4,1.0980224862753414,5.876840135227902,17.538946930480048,0.12501619099146166
garch,sparse_tsk,15,3.0,25,1.0,16.0,1.064732111799525,2.278840068838578,12.277393630746856,0.11000860458644565
garch,sparse_tsk,15,4.0,25,1.0,16.0,1.064732111799525,2.278840068838578,12.277393630746856,0.11000860458644565
garch,sparse_tsk,15,5.0,25,1.0,16.0,1.064732111799525,2.278840068838578,12.277393630746856,0.11000860458644565
garch,sparse_tsk,20,1.75,5,8.0,168.0,4.233320196666433,16.75162884195956,31.602212667787455,0.21858310258427877
garch,sparse_tsk,20,2.0,10,3.5,73.5,1.0896859536135177,3.3423094895002263,15.073731002808367,0.11709439069825933
garch,sparse_tsk,20,2.5,25,1.2,25.2,1.0713478546628412,2.866038425224125,13.00322142324439,0.11273756130620219
garch,sparse_tsk,20,3.0,25,1.0,21.0,1.0713478546628412,2.87586871139143,12.874422273299707,0.11247917303965366
garch,sparse_tsk,20,4.0,25,1.0,21.0,1.0713478546628412,2.87586871139143,12.874422273299707,0.11247917303965366
garch,sparse_tsk,20,5.0,25,1.0,21.0,1.0713478546628412,2.87586871139143,12.874422273299707,0.11247917303965366
mackey_glass,dense_tsk,3,0.5,25,7.8,31.2,0.06668123050593425,12.212062461174767,26.924016850890677,0.13485310776430878
mackey_glass,dense_tsk,3,0.75,25,5.0,20.0,0.06446122374981117,5.837851701809542,18.608993985957603,0.11916305565260826
mackey_glass,dense_tsk,3,1.0,25,4.0,16.0,0.06389027882160042,5.0278156945207275,17.10581079810884,0.11321748361236399
mackey_glass,dense_tsk,3,1.25,25,3.0,12.0,0.06355698818603184,2.9735829267317175,14.358430849759886,0.1062550984069375
mackey_glass,dense_tsk,3,1.5,25,3.0,12.0,0.06355698818603184,2.9735829267317175,14.358430849759886,0.1062550984069375
mackey_glass,dense_tsk,3,1.75,25,2.2,8.8,0.06325494537112814,2.0876516203166857,12.917981798896898,0.10249927046788937
mackey_glass,dense_tsk,3,2.0,25,2.0,8.0,0.06312004884560894,1.8662010796340247,12.557901822102249,0.10167793707002999
mackey_glass,dense_tsk,3,2.5,25,1.0,4.0,0.06318100413259704,0.5281251255428296,10.526678687451108,0.09504466814675067
mackey_glass,dense_tsk,3,3.0,25,1.0,4.0,0.06318100413259704,0.5281251255428296,10.526678687451108,0.09504466814675067
mackey_glass,dense_tsk,3,4.0,25,1.0,4.0,0.06318100413259704,0.5281251255428296,10.526678687451108,0.09504466814675067
mackey_glass,dense_tsk,3,5.0,25,1.0,4.0,0.06318100413259704,0.5281251255428296,10.526678687451108,0.09504466814675067
mackey_glass,dense_tsk,5,0.5,25,11.4,68.4,0.06643056278138876,31.82439548228128,49.03167972201299,0.18106017153295997
mackey_glass,dense_tsk,5,0.75,25,6.2,37.2,0.06495778183153254,14.367275789464507,27.9701946902845,0.141509582885691
mackey_glass,dense_tsk,5,1.0,25,4.0,24.0,0.06386591715486804,9.053425848715293,21.131420952303404,0.12508795748548007
mackey_glass,dense_tsk,5,1.25,25,3.0,18.0,0.06390313261439895,6.388660888749606,17.773508811777774,0.1172591542272784
mackey_glass,dense_tsk,5,1.5,25,3.0,18.0,0.06390313261439895,6.388660888749606,17.773508811777774,0.1172591542272784
mackey_glass,dense_tsk,5,1.75,25,2.2,13.2,0.06333350273547723,5.874917544655936,16.70524772323615,0.11062396108239594
mackey_glass,dense_tsk,5,2.0,25,2.0,12.0,0.06319965811288687,5.1711442178414595,15.862844960309683,0.10842655210388351
mackey_glass,dense_tsk,5,2.5,25,1.0,6.0,0.06291586177504209,2.0525154686813822,12.05106903058966,0.09949233036847767
mackey_glass,dense_tsk,5,3.0,25,1.0,6.0,0.06291586177504209,2.0525154686813822,12.05106903058966,0.09949233036847767
mackey_glass,dense_tsk,5,4.0,25,1.0,6.0,0.06291586177504209,2.0525154686813822,12.05106903058966,0.09949233036847767
mackey_glass,dense_tsk,5,5.0,25,1.0,6.0,0.06291586177504209,2.0525154686813822,12.05106903058966,0.09949233036847767
mackey_glass,dense_tsk,10,0.75,25,8.4,92.4,0.06440585996133198,55.06144856705462,70.18929126510649,0.20119471036031902
mackey_glass,dense_tsk,10,1.0,25,5.2,57.2,0.06267588830044674,33.51074999842129,46.42052171868133,0.1725185163122244
mackey_glass,dense_tsk,10,1.25,25,4.0,44.0,0.06222685928464813,24.37098065733026,36.44897576091837,0.15395967386895548
mackey_glass,dense_tsk,10,1.5,25,2.4,26.4,0.062361717302423104,14.071732624880651,25.04069223957285,0.12943007606830548
mackey_glass,dense_tsk,10,1.75,25,2.0,22.0,0.062075488160587715,10.642415381473612,21.33411612394183,0.12130325039248699
mackey_glass,dense_tsk,10,2.0,25,2.0,22.0,0.062075488160587715,10.642415381473612,21.33411612394183,0.12130325039248699
mackey_glass,dense_tsk,10,2.5,25,1.0,11.0,0.06181094019414712,6.4230981415809945,16.42165170348927,0.1074129260721761
mackey_glass,dense_tsk,10,3.0,25,1.0,11.0,0.06181094019414712,6.4230981415809945,16.42165170348927,0.1074129260721761
mackey_glass,dense_tsk,10,4.0,25,1.0,11.0,0.06181094019414712,6.4230981415809945,16.42165170348927,0.1074129260721761
