dataset,series,analysis_status,family,selected_candidate,selection_primary,validation_rmse,validation_mae,validation_weighted_cost,test_rmse,test_mae,test_weighted_cost,test_rmse_improvement_vs_fallback,test_cost_improvement_vs_fallback,test_rmse_improvement_vs_deployed,test_cost_improvement_vs_deployed,fallback_rmse,fallback_weighted_cost,deployed_rmse,deployed_weighted_cost,test_count,seasonal_period,rolling_one_step,parameters_refit_within_test,test_used_for_selection
pjm,pjme,secondary_post_hoc_after_confirmatory_opening,SARIMA,sarima_011_011,validation_weighted_cost,1907.3574234841417,1347.4981463425459,2022.7215194349078,2073.7457265003286,1510.6716940244103,2274.7601653686106,0.5318173104935938,0.5446752918361154,0.030616119586863607,0.06269459928024454,4429.351560790573,4995.907589864107,2139.2409843008018,2426.9146039506713,481,7,True,False,False
pjm,pjme,secondary_post_hoc_after_confirmatory_opening,ETS,ets_seasonal,validation_weighted_cost,2037.4698573293203,1490.5452720817773,2237.5967243054533,2180.2191859811346,1580.7753545543374,2383.8839418640596,0.5077791509527417,0.5228326587344055,-0.019155486446388526,0.017730604124497815,4429.351560790573,4995.907589864107,2139.2409843008018,2426.9146039506713,481,7,True,False,False
