sample_size,block_length,bootstrap_resamples,observed_rmse_improvement,rmse_ci_low,rmse_ci_high,rmse_bootstrap_probability_nonpositive,observed_cost_improvement,cost_ci_low,cost_ci_high,cost_bootstrap_probability_nonpositive,region,analysis_role
481,7,20000,0.5797016614068371,0.5335274731322039,0.6159082811746807,4.999750012499375e-05,0.5863702478045532,0.541267152268725,0.6249405656101823,4.999750012499375e-05,AEP,sensitivity
481,14,20000,0.5797016614068371,0.5306190306967885,0.6160505793005632,4.999750012499375e-05,0.5863702478045532,0.5399608532503571,0.6243015928896589,4.999750012499375e-05,AEP,primary
481,28,20000,0.5797016614068371,0.5276200184653128,0.6179284150330691,4.999750012499375e-05,0.5863702478045532,0.537875798066781,0.6248929570320289,4.999750012499375e-05,AEP,sensitivity
481,7,20000,0.5539918871945172,0.499145529314331,0.5998511581195712,4.999750012499375e-05,0.5410705986816549,0.4835273555631784,0.5890480497801462,4.999750012499375e-05,COMED,sensitivity
481,14,20000,0.5539918871945172,0.49575637211398177,0.5983205967160511,4.999750012499375e-05,0.5410705986816549,0.48309803605335583,0.5881017137963489,4.999750012499375e-05,COMED,primary
481,28,20000,0.5539918871945172,0.4909336729235367,0.5945331594763553,4.999750012499375e-05,0.5410705986816549,0.4852151908945318,0.58209334224652,4.999750012499375e-05,COMED,sensitivity
481,7,20000,0.4913301701988715,0.44182204085686794,0.5354575362819516,4.999750012499375e-05,0.5029711488381201,0.45346254702200844,0.5462198960868837,4.999750012499375e-05,DAYTON,sensitivity
481,14,20000,0.4913301701988715,0.4380515714757224,0.5352849576773941,4.999750012499375e-05,0.5029711488381201,0.45162316678999587,0.5473983906976623,4.999750012499375e-05,DAYTON,primary
481,28,20000,0.4913301701988715,0.4374292633060052,0.5348075017170264,4.999750012499375e-05,0.5029711488381201,0.45147474188145204,0.5467059078087636,4.999750012499375e-05,DAYTON,sensitivity
481,7,20000,0.5170306635314856,0.4592142209633207,0.5642712142792695,4.999750012499375e-05,0.5142194765822949,0.4566829101485527,0.5633032823587903,4.999750012499375e-05,PJME,sensitivity
481,14,20000,0.5170306635314856,0.4580149943298437,0.5629162131855047,4.999750012499375e-05,0.5142194765822949,0.45707546406667515,0.5633533400957029,4.999750012499375e-05,PJME,primary
481,28,20000,0.5170306635314856,0.45295254751421943,0.5635789748391414,4.999750012499375e-05,0.5142194765822949,0.454537562576045,0.5645787006364448,4.999750012499375e-05,PJME,sensitivity
