dataset,series,analysis_status,family,selected_candidate,selection_primary,validation_rmse,validation_mae,validation_weighted_cost,test_rmse,test_mae,test_weighted_cost,test_rmse_improvement_vs_fallback,test_cost_improvement_vs_fallback,test_rmse_improvement_vs_deployed,test_cost_improvement_vs_deployed,fallback_rmse,fallback_weighted_cost,deployed_rmse,deployed_weighted_cost,test_count,seasonal_period,rolling_one_step,parameters_refit_within_test,test_used_for_selection
pjm,aep,secondary_post_hoc_after_confirmatory_opening,SARIMA,sarima_101_011,validation_weighted_cost,725.1430650753567,534.4466903253135,795.381976967371,659.1833657868636,496.62404016777054,749.0883226657443,0.6106431218696782,0.6232168260271627,0.0736178509922484,0.0890810635043458,1693.005576149673,1988.115113441204,711.5674308846682,822.3435617087076,481,7,True,False,False
pjm,aep,secondary_post_hoc_after_confirmatory_opening,ETS,ets_seasonal,validation_weighted_cost,798.6385273112096,568.2368323894005,853.5235602339789,701.6434526542977,532.4055655166745,800.0676526953541,0.5855634130573781,0.5975747846358217,0.0139466448289129,0.0270883242121668,1693.005576149673,1988.115113441204,711.5674308846682,822.3435617087076,481,7,True,False,False
pjm,comed,secondary_post_hoc_after_confirmatory_opening,SARIMA,sarima_101_011,validation_weighted_cost,713.4048429598951,470.8065256085426,705.8206851469693,701.161758201914,498.7427898369907,744.9950080496574,0.5840812913879797,0.5790221965208873,0.0674638046473952,0.0826959391361953,1685.8144240296144,1769.677645454818,751.8869098017103,812.1571023550384,481,7,True,False,False
pjm,comed,secondary_post_hoc_after_confirmatory_opening,ETS,ets_seasonal,validation_weighted_cost,753.6996174817303,495.0944130819067,742.5855957097234,751.9917439281957,509.56987972874,767.958632497768,0.5539297011525715,0.5660460341632456,-0.0001394280511054,0.0544210839615964,1685.8144240296144,1769.677645454818,751.8869098017103,812.1571023550384,481,7,True,False,False
pjm,dayton,secondary_post_hoc_after_confirmatory_opening,SARIMA,sarima_011_011,validation_weighted_cost,125.19689551144316,87.53449351719668,131.22282100171907,114.87504219571493,87.96065524547878,132.19653315548717,0.5461161883785834,0.5627266411818951,0.1077044773839474,0.1202253998014148,253.09349938114107,302.320117358162,128.74102725397705,150.26182061365196,481,7,True,False,False
pjm,dayton,secondary_post_hoc_after_confirmatory_opening,ETS,ets_holt_winters,validation_weighted_cost,127.13784138516102,90.50718260586277,135.77948110117157,115.556587177537,88.9867273878149,133.77940720502946,0.5434233298757433,0.5574908862365269,0.1024105551871208,0.1096912931129825,253.09349938114107,302.320117358162,128.74102725397705,150.26182061365196,481,7,True,False,False
pjm,pjme,secondary_post_hoc_after_confirmatory_opening,SARIMA,sarima_011_011,validation_weighted_cost,1907.3574234841417,1347.498146342546,2022.721519434908,2073.7457265003286,1510.6716940244105,2274.7601653686106,0.5318173104935938,0.5446752918361154,0.0306161195868636,0.0626945992802445,4429.351560790573,4995.907589864107,2139.2409843008018,2426.914603950672,481,7,True,False,False
pjm,pjme,secondary_post_hoc_after_confirmatory_opening,ETS,ets_seasonal,validation_weighted_cost,2037.4698573293203,1490.5452720817773,2237.5967243054533,2180.2191859811346,1580.7753545543374,2383.88394186406,0.5077791509527417,0.5228326587344055,-0.0191554864463885,0.0177306041244978,4429.351560790573,4995.907589864107,2139.2409843008018,2426.914603950672,481,7,True,False,False
