process,family,selection_strategy,series_count,mean_validation_rmse,mean_test_rmse,mean_rule_count,mean_dimension,mean_empirical_risk,mean_gaussian_kl,mean_total_kl,mean_certificate_familywise,median_certificate_familywise,vacuous_familywise,mean_certificate_pointwise,mean_zero_prior_certificate,mean_certification_clipping,mean_test_clipping
ar2,dense_tsk,certificate,5,0.8468300316603645,0.9076507322997364,1.0,4.0,0.0225667162641029,0.28745149351195476,10.286005055420233,0.11539903019698441,0.1147170425995311,0,0.10406170559144386,0.12320106132954493,0.006166666666666641,0.0035000000000000005
ar2,dense_tsk,validation_rmse,5,0.8454043753613008,0.912558635467484,1.6,13.6,0.029561129779504626,2.4465495815090224,12.860991451753268,0.12707904939132025,0.1255980261284109,0,0.11858066304864771,0.14046723200566238,0.006166666666666641,0.0035000000000000005
ar2,fixed_k_dense_tsk,certificate,5,0.8671765177869141,0.9278636875964263,12.0,48.0,0.04797181804367932,15.962384426109892,31.1876617013792,0.17609906942005163,0.1751652721441451,0,0.17043040711728136,0.17997456646200982,0.006166666666666641,0.0035000000000000005
ar2,fixed_k_dense_tsk,validation_rmse,5,0.8653964419450075,0.9342452123828181,12.0,57.6,0.06132104496268957,12.35488919954563,27.580166474814938,0.18343580429478812,0.1859374513464714,0,0.17776714199201787,0.1852197502061553,0.006166666666666641,0.0035000000000000005
ar2,ridge,certificate,5,0.8468300307962615,0.9076506362636911,1.0,4.0,0.02256684331990032,0.2873191219299729,7.19507440091211,0.10509605507108803,0.1044117462537713,0,0.0937587304655475,0.11804968823814779,0.006166666666666641,0.0035000000000000005
ar2,ridge,validation_rmse,5,0.8459418229069016,0.9098341679646683,1.0,11.2,0.026133519808903383,1.5244064037449927,8.43216168272713,0.11278635583280783,0.1087338770375178,0,0.10144903122726727,0.13052139949117425,0.006166666666666641,0.0035000000000000005
ar2,sparse_tsk,certificate,5,0.8468300316603645,0.9076507322997364,1.0,4.0,0.0225667162641029,0.28745149351195476,10.286005055420233,0.11539903019698441,0.1147170425995311,0,0.10406170559144386,0.12320106132954493,0.006166666666666641,0.0035000000000000005
ar2,sparse_tsk,validation_rmse,5,0.8454080721656236,0.9125557236076203,1.6,13.6,0.029559310632999602,2.4538718384143015,12.868313708658548,0.12708943400632405,0.1255980261284109,0,0.11859104766365147,0.14046690616427132,0.006166666666666641,0.0035000000000000005
garch,dense_tsk,certificate,5,1.0515626521201076,1.0411082548598534,1.0,4.0,0.010815292036868259,0.42440570972225666,10.422959271630535,0.10403765521960942,0.1038267036438004,0,0.09276679541824354,0.102828489422322,0.00249999999999998,0.002
garch,dense_tsk,validation_rmse,5,1.0449204119536897,1.0926096186806844,3.0,14.4,0.01274415779275442,2.273781725593308,13.658629648621476,0.11141648728168632,0.1113123234657795,0,0.10234662759725392,0.10861704616829007,0.00249999999999998,0.002
garch,fixed_k_dense_tsk,certificate,5,1.0865049731337675,1.0810286125513697,12.0,211.2,0.02573750572179238,6.464209420469447,21.68948669573875,0.13803446542209727,0.1414112296854878,0,0.13236580311932705,0.1320678105939916,0.00249999999999998,0.002
garch,fixed_k_dense_tsk,validation_rmse,5,1.0743518226419821,1.1543960644431113,12.0,168.0,0.029741308256339437,9.374102550134126,24.599379825403428,0.14688808983941884,0.1583273469257493,0,0.14121942753664857,0.13888384054497582,0.00249999999999998,0.002
garch,ridge,certificate,5,1.0515626681689605,1.0411082711443145,1.0,4.0,0.01081528613286158,0.42496872019788173,7.332723999180018,0.09380332987827567,0.0935268498253259,0,0.08246600527273514,0.09252531421401056,0.00249999999999998,0.002
garch,ridge,validation_rmse,5,1.0508977216633868,1.039778512628423,1.0,4.4,0.01100918361217028,0.44960440037268407,7.35735967935482,0.09407934629150036,0.093530918897801,0,0.08274202168595984,0.09272848515232832,0.00249999999999998,0.002
garch,sparse_tsk,certificate,5,1.0515626521201076,1.0411082548598534,1.0,4.0,0.010815292036868259,0.42440570972225666,10.422959271630535,0.10403765521960942,0.1038267036438004,0,0.09276679541824354,0.102828489422322,0.00249999999999998,0.002
garch,sparse_tsk,validation_rmse,5,1.0449168226505106,1.0925015145378385,3.0,14.4,0.01274405414215676,2.217510040382121,13.602357963410288,0.11132259748907,0.1113123234657795,0,0.10225273780463762,0.10860302894531051,0.00249999999999998,0.002
mackey_glass,dense_tsk,certificate,5,0.06273256205363628,0.06803858876739086,1.0,4.0,0.0007826665199944999,0.29627283326353593,10.294826395171814,0.09357779008287995,0.0932049247271527,0,0.08230706031317404,0.11820444716514086,0.009166666666666639,0.013000000000000001
mackey_glass,dense_tsk,validation_rmse,5,0.04881361611211814,0.05390065642296312,5.8,121.8,0.08032426462089955,38.813589748144146,52.139249776740165,0.2403249469295447,0.2397755373485702,0,0.23522315085705148,0.27554877778328596,0.009166666666666639,0.013000000000000001
mackey_glass,fixed_k_dense_tsk,certificate,5,0.08946139357163072,0.09586839365053457,12.0,48.0,0.014172065405546242,7.279384289273243,22.504661564542545,0.1278276498871908,0.1293879212652898,0,0.12215898758442052,0.19308253159243405,0.009166666666666639,0.013000000000000001
mackey_glass,fixed_k_dense_tsk,validation_rmse,5,0.050264643150906264,0.0521326810473012,12.0,252.0,0.108727801094015,59.20235939103459,74.42763666630388,0.30193259824303736,0.3261416845556569,0,0.2985314008613753,0.3479769304327285,0.009166666666666639,0.013000000000000001
mackey_glass,ridge,certificate,5,0.06273258634357216,0.06803857902727936,1.0,4.0,0.00114747735999804,0.1817729170802028,7.089528196062339,0.08332486842835315,0.0829049403049013,0,0.07198754382281265,0.11295903122850137,0.009166666666666639,0.013000000000000001
mackey_glass,ridge,validation_rmse,5,0.0601021860109324,0.06564966437774734,1.0,20.0,0.00970884177238764,9.521118448442273,16.42887372742441,0.11291819992149192,0.1091044047884297,0,0.10611580515816761,0.16484943757915424,0.009166666666666639,0.013000000000000001
mackey_glass,sparse_tsk,certificate,5,0.06273256205363628,0.06803858876739086,1.0,4.0,0.0007826665199944999,0.29627283326353593,10.294826395171814,0.09357779008287995,0.0932049247271527,0,0.08230706031317404,0.11820444716514086,0.009166666666666639,0.013000000000000001
mackey_glass,sparse_tsk,validation_rmse,5,0.04881361403611088,0.05390065464747203,5.8,121.8,0.08031929216248364,38.81998715144739,52.14564718004341,0.2403306341372773,0.2398039555971492,0,0.23522883806478406,0.2755481861207242,0.009166666666666639,0.013000000000000001
narma10,dense_tsk,certificate,5,0.8219096409783541,0.8139485217869712,1.0,9.6,0.01467927652580952,1.5500319198110284,11.548585481719305,0.1099565166511022,0.1096006140319449,0,0.10038286727414733,0.12346659574924604,0.00966666666666664,0.003
narma10,dense_tsk,validation_rmse,5,0.7857960646392905,0.7655903868357494,1.2,25.2,0.019708112995694062,3.6452621328274146,13.78244513084768,0.1188266700878472,0.1183565582514084,0,0.1119778355055426,0.14655393175120207,0.00966666666666664,0.003
narma10,fixed_k_dense_tsk,certificate,5,0.931054144252052,0.914229800051397,12.0,48.0,0.04342768891485876,15.370876834899127,30.59615411016843,0.17056909430587983,0.1757271518798357,0,0.16490043200310955,0.1661227763979888,0.00966666666666664,0.003
narma10,fixed_k_dense_tsk,validation_rmse,5,0.8598521399382466,0.8558005740106778,12.0,192.0,0.0641468674585569,65.70497606013609,80.93025333540538,0.24538256190982738,0.2130026773735851,0,0.2402807658373341,0.25180938549337695,0.00966666666666664,0.003
