family,selection_strategy,series,mean_test_rmse,median_test_rmse,mean_rule_count,mean_dimension,mean_gaussian_kl,mean_total_kl,mean_certificate,median_certificate,vacuous
dense_tsk,certificate,30,0.902139547206193,0.9008621927646436,1.0,4.933333333333334,1.0880220858548413,11.086575647763118,0.11138446547516269,0.11239829779538024,0
dense_tsk,validation_rmse,30,0.8814247309743823,0.8984827102447328,3.8,39.7,16.629777994754328,28.569143662230452,0.1589430461584992,0.1350687245029089,0
fixed_k_dense_tsk,certificate,30,0.9187964167119846,0.9269921961089238,12.0,75.2,16.665108723930107,31.89038599919941,0.16787234634739173,0.1654936718719504,0
fixed_k_dense_tsk,validation_rmse,30,0.9148939164417914,0.9146959267081043,12.0,135.6,39.54653561564625,54.77181289091556,0.22207941829727632,0.20244870889735805,0
ridge,certificate,30,0.9115599512797494,0.9051004016420459,1.0,4.233333333333333,0.5916667971948769,7.499422076177013,0.10172692141814234,0.1022559876756322,0
ridge,validation_rmse,30,0.886648877630123,0.8958786898180038,1.0,13.4,5.158793878844709,12.066549157826845,0.11445541759983292,0.11050348639938555,0
sparse_tsk,certificate,30,0.902139547206193,0.9008621927646436,1.0,4.933333333333334,1.0880220858548413,11.086575647763118,0.11138446547516269,0.11239829779538024,0
sparse_tsk,validation_rmse,30,0.8844642697751067,0.8989923841068848,3.566666666666667,40.233333333333334,16.83064245370703,28.608273779052503,0.15892763000726282,0.1350725169616125,0
