selection_strategy,metric,metric_label,pair_count,mean_radius_minus_best_fixed,median_radius_minus_best_fixed,bootstrap_ci_low,bootstrap_ci_high,radius_lower_count,wilcoxon_p,wilcoxon_p_holm
validation_rmse,validation_rmse_scaled,Validation RMSE,30,-0.0003000995882395184,0.0,-0.003550250260276002,0.002447974415365969,12,0.7750969621959847,1.0
validation_rmse,test_rmse_scaled,Test RMSE,30,-0.005359868649855218,0.0,-0.011777212657203013,-0.000236055812498548,14,0.09185084396186832,0.4592542198093416
validation_rmse,consequent_dimension,Dimension,30,-14.7,-3.5,-27.833333333333332,-4.133333333333334,18,0.022141408259536515,0.15498985781675562
validation_rmse,localized_gaussian_kl,Gaussian KL,30,-4.856682801967094,-1.3034595018597692,-10.524480216060903,0.33179106927440827,17,0.042501961142818866,0.2550117668569132
validation_rmse,localized_certificate_familywise,Certificate,30,-0.006794952201043022,-0.0010564417259682074,-0.018664652717417775,0.0049041060432594066,16,0.38198381460150077,1.0
certificate,validation_rmse_scaled,Validation RMSE,30,-0.008834445881905928,0.00025127962762553496,-0.023780139569359635,0.0030321556623988245,14,0.8552717231214046,1.0
certificate,test_rmse_scaled,Test RMSE,30,-0.0076891983988445324,-0.0026523060441962856,-0.02069367932883865,0.002995536487021239,17,0.4399667661637068,1.0
certificate,consequent_dimension,Dimension,30,-4.133333333333334,-4.0,-5.533333333333333,-2.8333333333333335,27,6.646339485748939e-07,6.646339485748939e-06
certificate,localized_gaussian_kl,Gaussian KL,30,-1.2444410735121862,-0.8434996188052108,-1.8037499518679558,-0.7586706589017028,27,1.6838312149047852e-06,1.5154480934143066e-05
certificate,localized_certificate_familywise,Certificate,30,-0.0016880918027834984,-0.0013946278172483548,-0.0028711101676278787,-0.0005424963552693374,20,0.013663241639733315,0.10930593311786652
