process,seed,candidate_id,family,lag,radius,ridge_alpha,rule_count,consequent_dimension,validation_rmse_scaled,validation_mae_scaled,validation_rmse_original,validation_mae_original,clip_bound_scaled,certification_target_clipping_rate,certificate_sample_size,selection_uses_test,certificate_uses_test,localized_prior_scale,localized_posterior_ratio,localized_empirical_gibbs_risk,localized_gaussian_kl,localized_structure_kl,localized_prior_scale_penalty,localized_prior_variant_penalty,localized_total_kl,localized_temperature_familywise,localized_certificate_familywise,localized_certificate_familywise_untruncated,localized_temperature_pointwise,localized_certificate_pointwise,localized_certificate_pointwise_untruncated,zero_mean_prior_scale,zero_mean_posterior_ratio,zero_mean_empirical_gibbs_risk,zero_mean_gaussian_kl,zero_mean_structure_kl,zero_mean_prior_scale_penalty,zero_mean_prior_variant_penalty,zero_mean_total_kl,zero_mean_temperature_familywise,zero_mean_certificate_familywise,zero_mean_certificate_familywise_untruncated,zero_mean_temperature_pointwise,zero_mean_certificate_pointwise,zero_mean_certificate_pointwise_untruncated,effective_rule_count,minimum_hard_rule_support,maximum_hard_rule_support,mean_active_rules,maximum_active_rules,rule_usage_entropy,realized_covering_radius,requested_fixed_k
garch,3002,dense_tsk|p=3|r=2|a=0.0001|k=8,dense_tsk,3,2.0,0.0001,8,32,1.2134086248691878,0.8788768353192726,1.1339583983395973,0.821330710933307,6.058832038772411,0.0033333333333333335,1200,False,False,4.0,0.3,0.026729381154386066,33.14740193403948,12.54799873283385,1.6094379124341003,0.6931471805599453,47.997985759867376,0.5,0.18287383929490536,0.18287383929490536,0.5,0.17720517699213512,0.17720517699213512,2.0,1.0,0.0353379874043769,10.072999271205735,12.54799873283385,1.6094379124341003,0.6931471805599453,24.923583097033628,0.5,0.15302510777350664,0.15302510777350664,0.5,0.14735644547073637,0.14735644547073637,8,2,800,5.170833333333333,8,0.5577169029655228,,
garch,3002,dense_tsk|p=3|r=2|a=0.001|k=8,dense_tsk,3,2.0,0.001,8,32,1.2131568702375743,0.8787581408815814,1.1337231278190258,0.821219788238596,6.058832038772411,0.0033333333333333335,1200,False,False,2.0,1.0,0.034011048850794416,20.250446951513744,12.54799873283385,1.6094379124341003,0.6931471805599453,35.10103077734164,0.5,0.1686605820204375,0.1686605820204375,0.5,0.16299191971766724,0.16299191971766724,2.0,1.0,0.034011048850794416,9.809638101412895,12.54799873283385,1.6094379124341003,0.6931471805599453,24.66022192724079,0.5,0.15125923393693608,0.15125923393693608,0.5,0.14559057163416583,0.14559057163416583,8,2,800,5.170833333333333,8,0.5577169029655228,,
garch,3002,dense_tsk|p=3|r=2|a=0.01|k=8,dense_tsk,3,2.0,0.01,8,32,1.210059824334753,0.874092380504513,1.1308288668589752,0.8168595273538611,6.058832038772411,0.0033333333333333335,1200,False,False,2.0,1.0,0.03298588041008285,22.3588110653629,12.54799873283385,1.6094379124341003,0.6931471805599453,37.2093948911908,0.5,0.17114935376947452,0.17114935376947452,0.5,0.16548069146670424,0.16548069146670424,2.0,1.0,0.03298588041008285,9.65793315679071,12.54799873283385,1.6094379124341003,0.6931471805599453,24.508516982618605,0.5,0.1499812239218542,0.1499812239218542,0.5,0.14431256161908393,0.14431256161908393,8,2,800,5.170833333333333,8,0.5577169029655228,,
garch,3002,dense_tsk|p=3|r=2|a=0.1|k=8,dense_tsk,3,2.0,0.1,8,32,1.2044826209914568,0.869241657126617,1.1256168414614631,0.8123264142708878,6.058832038772411,0.0033333333333333335,1200,False,False,2.0,1.0,0.02861224368588019,16.723699689666738,12.54799873283385,1.6094379124341003,0.6931471805599453,31.574283515494635,0.5,0.15738386475244492,0.15738386475244492,0.5,0.15171520244967465,0.15171520244967465,2.0,1.0,0.02861224368588019,5.350023082360672,12.54799873283385,1.6094379124341003,0.6931471805599453,20.20060690818857,0.5,0.13842773707360148,0.13842773707360148,0.5,0.1327590747708312,0.1327590747708312,8,2,800,5.170833333333333,8,0.5577169029655228,,
garch,3002,dense_tsk|p=3|r=2|a=1|k=8,dense_tsk,3,2.0,1.0,8,32,1.189773882678475,0.8521097489794401,1.1118711856311503,0.7963162502380021,6.058832038772411,0.0033333333333333335,1200,False,False,2.0,1.0,0.019178514161673568,10.23564079467571,12.54799873283385,1.6094379124341003,0.6931471805599453,25.086224620503607,0.5,0.1371367037365866,0.1371367037365866,0.5,0.13146804143381632,0.13146804143381632,2.0,1.0,0.019178514161673568,3.7904956674244077,12.54799873283385,1.6094379124341003,0.6931471805599453,18.641079493252303,0.5,0.12639479519116775,0.12639479519116775,0.5,0.12072613288839748,0.12072613288839748,8,2,800,5.170833333333333,8,0.5577169029655228,,
garch,3002,dense_tsk|p=3|r=2.5|a=0.0001|k=6,dense_tsk,3,2.5,0.0001,6,24,1.1961047638413544,0.859135696722554,1.1177875403663995,0.8028821607534792,6.058832038772411,0.0033333333333333335,1200,False,False,2.0,1.0,0.01800835443737304,7.738816284789003,11.16170437171396,1.6094379124341003,0.6931471805599453,21.203105749497006,0.5,0.12949467922727506,0.12949467922727506,0.5,0.12382601692450479,0.12382601692450479,2.0,1.0,0.01800835443737304,2.9910593079121375,11.16170437171396,1.6094379124341003,0.6931471805599453,16.45534877262014,0.5,0.12158175093248028,0.12158175093248028,0.5,0.11591308862971003,0.11591308862971003,6,27,788,5.839166666666666,6,0.7084737561731107,,
garch,3002,dense_tsk|p=3|r=2.5|a=0.001|k=6,dense_tsk,3,2.5,0.001,6,24,1.1961003700452604,0.8591326868092366,1.1177834342624215,0.8028793479199337,6.058832038772411,0.0033333333333333335,1200,False,False,2.0,1.0,0.018002749825575072,7.733106532797226,11.16170437171396,1.6094379124341003,0.6931471805599453,21.197395997505232,0.5,0.12947955836215747,0.12947955836215747,0.5,0.1238108960593872,0.1238108960593872,2.0,1.0,0.018002749825575072,2.9919618326927493,11.16170437171396,1.6094379124341003,0.6931471805599453,16.456251297400755,0.5,0.12157765052865,0.12157765052865,0.5,0.11590898822587972,0.11590898822587972,6,27,788,5.839166666666666,6,0.7084737561731107,,
garch,3002,dense_tsk|p=3|r=2.5|a=0.01|k=6,dense_tsk,3,2.5,0.01,6,24,1.1960565100189287,0.8591026173401529,1.1177424460543348,0.8028512473062556,6.058832038772411,0.0033333333333333335,1200,False,False,2.0,1.0,0.017947365395073932,7.677143906512607,11.16170437171396,1.6094379124341003,0.6931471805599453,21.14143337122061,0.5,0.12933090288784863,0.12933090288784863,0.5,0.12366224058507837,0.12366224058507837,2.0,1.0,0.017947365395073932,3.0008860500087318,11.16170437171396,1.6094379124341003,0.6931471805599453,16.465175514716737,0.5,0.1215371397936755,0.1215371397936755,0.5,0.11586847749090524,0.11586847749090524,6,27,788,5.839166666666666,6,0.7084737561731107,,
garch,3002,dense_tsk|p=3|r=2.5|a=0.1|k=6,dense_tsk,3,2.5,0.1,6,24,1.1956254973057214,0.8588048393551022,1.117339654714373,0.8025729668984289,6.058832038772411,0.0033333333333333335,1200,False,False,2.0,1.0,0.017450817725203696,7.2120792864026315,11.16170437171396,1.6094379124341003,0.6931471805599453,20.676368751110637,0.5,0.1280592475177951,0.1280592475177951,0.5,0.12239058521502483,0.12239058521502483,2.0,1.0,0.017450817725203696,3.0812894485803812,11.16170437171396,1.6094379124341003,0.6931471805599453,16.545578913288384,0.5,0.12117459778809134,0.12117459778809134,0.5,0.11550593548532108,0.11550593548532108,6,27,788,5.839166666666666,6,0.7084737561731107,,
garch,3002,dense_tsk|p=3|r=2.5|a=1|k=6,dense_tsk,3,2.5,1.0,6,24,1.1919221833771865,0.8564018538323578,1.1138788222751748,0.8003273214013086,6.058832038772411,0.0033333333333333335,1200,False,False,2.0,1.0,0.01491515468957773,5.643086462550908,11.16170437171396,1.6094379124341003,0.6931471805599453,19.107375927258914,0.5,0.12290859644241625,0.12290859644241625,0.5,0.117239934139646,0.117239934139646,2.0,1.0,0.01491515468957773,3.4829927786086436,11.16170437171396,1.6094379124341003,0.6931471805599453,16.94728224331665,0.5,0.11930844030251248,0.11930844030251248,0.5,0.11363977799974222,0.11363977799974222,6,27,788,5.839166666666666,6,0.7084737561731107,,
