region,deployment,selected_family,selected_rule_count,selected_dimension,selected_certificate,selected_validation_rmse_improvement,selected_validation_cost_improvement,test_rmse_improvement_vs_fallback,test_cost_improvement_vs_fallback
aep,ridge,ridge,1,29,0.0958533242279671,0.5314408471437003,0.5456739881045293,0.5797016614068371,0.5863702478045532
comed,ridge,ridge,1,29,0.0840978896762806,0.4712439359967306,0.5001720014209865,0.5539918871945171,0.5410705986816547
dayton,dense_tsk,dense_tsk,1,15,0.0932779872788795,0.4556263182827556,0.4671736702034279,0.4913301701988715,0.5029711488381201
pjme,ridge,ridge,1,29,0.0959320498385689,0.5383430927224241,0.5314581910005116,0.5170306635314855,0.5142194765822949
