region,decision_made_before_test_opening,deployment,reason,eligible_candidate_count,seasonal_validation_rmse,seasonal_validation_mae,seasonal_validation_weighted_cost,selected_candidate_id,selected_family,selected_certificate,selected_validation_rmse,selected_validation_cost,selected_validation_rmse_improvement,selected_validation_cost_improvement,test_opened_after_all_decisions,test_baseline_rmse,test_baseline_mae,test_baseline_weighted_cost,test_baseline_normalized_weighted_cost,test_deployed_rmse,test_deployed_mae,test_deployed_weighted_cost,test_deployed_normalized_weighted_cost,test_rmse_improvement_vs_fallback,test_cost_improvement_vs_fallback
aep,True,ridge,robust_certificate_validation_gate_passed,35,1714.0672030287283,1280.9136807981047,1913.8390692119306,ridge|p=28|r=none|a=0.0001|k=1,ridge,0.09585332422796711,803.141876589908,869.5068717247962,0.5314408471437003,0.5456739881045293,True,1693.005576149673,1317.4852662026597,1988.1151134412037,0.13453918014353292,711.5674308846682,550.2998791577076,822.3435617087079,0.0556494077433481,0.5797016614068371,0.5863702478045532
comed,True,ridge,robust_certificate_validation_gate_passed,31,1431.003242783293,1018.5441557268427,1524.2419607370784,ridge|p=28|r=none|a=0.0001|k=1,ridge,0.08409788967628062,756.651642230009,761.8588085853652,0.4712439359967306,0.5001720014209865,True,1685.8144240296144,1169.747992557774,1769.677645454818,0.1568252992851005,751.8869098017104,538.6663802485549,812.1571023550385,0.0719717407124815,0.5539918871945171,0.5410705986816547
dayton,True,dense_tsk,robust_certificate_validation_gate_passed,25,264.072585041732,200.5554719177767,299.56878036050637,dense_tsk|p=14|r=2.5|a=1|k=1,dense_tsk,0.09327798727887952,143.75416535975776,159.61813376112403,0.4556263182827556,0.4671736702034279,True,253.09349938114107,200.59684308053954,302.320117358162,0.15020557228080123,128.74102725397705,99.34988051687914,150.26182061365196,0.07465650302883933,0.4913301701988715,0.5029711488381201
pjme,True,ridge,robust_certificate_validation_gate_passed,25,4178.405327246124,3066.8982145007803,4587.089992572961,ridge|p=28|r=none|a=0.0001|k=1,ridge,0.09593204983856893,1928.989680728593,2149.2434431635847,0.5383430927224241,0.5314581910005116,True,4429.351560790573,3287.193908373253,4995.907589864107,0.1603059666241706,2139.2409843008018,1615.875978266299,2426.9146039506713,0.07787351637367076,0.5170306635314855,0.5142194765822949
